code,name,pcode
P123-201020300-3298,밥심 우리쌀 농협쌀밥,23201.0
P123-201020300-3299,백리향계란야채볶음밥,23201.0
P123-201020300-3300,백리향새우게살볶음밥,23201.0
P123-201020300-3301,버섯볶음밥 & 단호박숯불구이,23201.0
P123-201020300-3302,버섯크림리조또,23201.0
P123-201020300-3303,버섯해장국잡채밥,23201.0
P123-201020300-3304,베이컨 베이스밥 N,23201.0
P123-201020300-3305,베이컨크리미리조또,23201.0
P123-201020300-3306,베지가든 김치불고기 볶음밥,23201.0
P123-201020300-3307,베지가든 불고기 볶음밥,23201.0
P123-201020300-3308,병천식 얼큰순대국밥,23201.0
P123-201020300-3309,볶음깍두기삼겹 왕덮밥,23201.0
P123-201020300-3310,본소고기가마솥국밥,23201.0
P123-201020300-3311,볼케이노치킨마요 왕덮밥,23201.0
P123-201020300-3312,봉하쌀 김치볶음밥,23201.0
P123-201020300-3313,봉하쌀 새우볶음밥,23201.0
P123-201020300-3282,미소식 김치볶음밥 딤섬만두 계란후라이,23201.0
P123-201020300-3283,미소식 나시고랭 소불고기 스크램블에그,23201.0
P123-201020300-3284,미소식 닭갈비볶음밥 함박스테이크 오믈렛,23201.0
P123-201020300-3285,믿고밥 닭가슴살 볶음밥 달걀야채,23201.0
P123-201020300-3286,믿고밥 대패삼겹 볶음밥,23201.0
P123-201020300-3287,바나나크림리조또,23201.0
P123-201020300-3288,바로구운 양념장어덮밥,23201.0
P123-201020300-3289,바빠도 밥바 소불고기,23201.0
P123-201020300-3290,바질리조또,23201.0
P123-201020300-3291,바질토마토소스 닭가슴살 & 치즈 렌틸콩 덮밥,23201.0
P123-201020300-3292,밥리 돈가스 밥버거,23201.0
P123-201020300-3293,밥리 매콤제육 밥버거,23201.0
P123-201020300-3294,밥리 양념치킨 밥버거,23201.0
P123-201020300-3295,밥리 양송이스테이크 밥버거,23201.0
P123-201020300-3296,밥리 햄김치 밥버거,23201.0
P123-201020300-3297,밥바 멸치아몬드,23201.0
P123-224020300-0170,콤비네이션피자브리또,23224.0
P123-224020300-0171,콰트로치즈브리또고구마,23224.0
P123-224020300-0172,콰트로치즈브리또불고기,23224.0
P123-224020300-0173,콰트로치즈브리또콤비네이션,23224.0
P123-224020300-0174,콰트로치즈치킨브리또,23224.0
P123-224020300-0175,크림치즈치아바타,23224.0
P123-224020300-0176,토마토치즈샌드위치,23224.0
P123-224020300-0177,통밀브리또그릴닭가슴살,23224.0
P123-224020300-0178,통밀브리또까망베르치즈,23224.0
P123-224020300-0179,통밀브리또치즈불닭,23224.0
P123-224020300-0180,트러플불고기치아바타,23224.0
P123-224020300-0181,트러플치킨머핀,23224.0
P123-224020300-0182,트리플치즈머쉬룸파니니,23224.0
P123-224020300-0184,풀드포크콜비잭치즈파니니,23224.0
P123-224020300-0185,플랜트 멕시칸 부리또,23224.0
P123-224020300-0186,플랜트 코리안 부리또,23224.0
P123-224020300-0154,치즈불고기치아바타,23224.0
P123-224020300-0155,치즈불닭브리또,23224.0
P123-224020300-0156,치즈비프랩샌드위치,23224.0
P123-224020300-0157,치즈스테이크샌드위치,23224.0
P123-224020300-0158,치킨&할라페뇨라이스부리또,23224.0
P123-224020300-0159,치킨랩샌드위치,23224.0
P123-224020300-0160,치킨마쉬룸치아바타샌드위치,23224.0
P123-224020300-0161,치킨머쉬룸샌드위치,23224.0
P123-224020300-0162,치킨바베큐치아바타,23224.0
P123-224020300-0163,치킨브레스트샌드위치,23224.0
P123-224020300-0164,치킨브리또,23224.0
P123-224020300-0165,치킨치즈브리또,23224.0
P123-224020300-0166,치킨퀘사디아,23224.0
P123-224020300-0167,칠리치킨퀘사디아,23224.0
P123-224020300-0168,카야샌드,23224.0
P123-224020300-0169,캘리포니아뮌스터치즈파니니,23224.0
P123-302030100-0370,상해식 샤오롱바오,23302.0
P123-224020300-0135,오뚜기Real멕시칸라이스브리또불고기,23224.0
P123-224020300-0136,오뚜기Real멕시칸라이스브리또스파이시,23224.0
P123-224020300-0137,오뚜기Real멕시칸브리또베이컨마카로니,23224.0
P123-224020300-0138,오뚜기Real멕시칸브리또치폴레살사치킨,23224.0
P123-224020300-0139,오뚜기Real멕시칸브리또페페로니트리플치즈,23224.0
P123-224020300-0140,온더보더치킨부리또,23224.0
P123-224020300-0141,올리브비프치아바타,23224.0
P123-224020300-0142,올리브햄치즈에그샌드위치,23224.0
P123-224020300-0143,와사비마요아보카도&치킨브리또,23224.0
P123-224020300-0144,유로잉글리쉬머핀샌드위치,23224.0
P123-224020300-0145,잇메이트닭가슴살브리또매콤바베큐,23224.0
P123-224020300-0149,잉글리쉬머핀샌드위치,23224.0
P123-224020300-0150,잉글리쉬머핀샌드위치(D),23224.0
P123-224020300-0151,잠봉뵈르샌드위치,23224.0
P123-224020300-0152,치아바타비프앤치즈,23224.0
P123-224020300-0153,치아바타핫치킨치즈,23224.0
P123-224020300-0118,브리또콰트로치즈&고구마무스,23224.0
P123-224020300-0119,생이든닭가슴살브리또,23224.0
P123-224020300-0120,소시지스크램블부리또,23224.0
P123-224020300-0121,소시지에그머핀,23224.0
P123-224020300-0122,순미당샌드위치,23224.0
P123-224020300-0123,스윗칠리브리또,23224.0
P123-224020300-0124,스파이시치킨가라아게브리또,23224.0
P123-224020300-0125,스파이시치킨브리또,23224.0
P123-224020300-0126,아보카도치킨부리또,23224.0
P123-224020300-0128,어니언치킨치아바타,23224.0
P123-224020300-0129,에그모닝치아바타,23224.0
P123-224020300-0130,에그베이컨샌드위치,23224.0
P123-224020300-0131,에그베이컨치아바타,23224.0
P123-224020300-0132,에멘탈치즈비프파니니,23224.0
P123-224020300-0133,에쓰푸드잠봉샌드위치,23224.0
P123-224020300-0134,에이미샌드,23224.0
P123-224020300-0102,모타델라샌드위치,23224.0
P123-224020300-0103,미트살사소시지브리또,23224.0
P123-224020300-0104,밀스원닭가슴살퀘사디아,23224.0
P123-224020300-0105,밀스원트리플치즈퀘사디아매콤닭갈비,23224.0
P123-224020300-0106,밀스원트리플치즈퀘사디아스윗파인맛,23224.0
P123-224020300-0107,바질앤치킨샌드위치,23224.0
P123-224020300-0108,바질치킨샌드위치,23224.0
P123-224020300-0109,베이글샌드위치,23224.0
P123-224020300-0110,베이컨&포테이토치아바타,23224.0
P123-224020300-0111,볼케이노치밥브리또,23224.0
P123-224020300-0112,불고기브리또[(주)테이트],23224.0
P123-224020300-0113,불고기브리또[구스에프앤비(주)],23224.0
P123-224020300-0114,불고기브리또[대풍년푸드(주)],23224.0
P123-224020300-0115,불고기치아바타,23224.0
P123-224020300-0116,불고기크림브리또,23224.0
P123-224020300-0117,브리또비프&할라피뇨(냉동),23224.0
P123-224020300-0084,머스타드치킨브리또,23224.0
P123-224020300-0085,먹물치킨치아바타라운드,23224.0
